"id";"cpu_percent";"ram_percent";"disk_percent";"download";"upload";"temp_celsius";"swap_percent";"tasks";"clock";"dataHora"
69;"19.3";"51.6";"48.4";"69.6";"16.6";"47.8";"65.5";"225.6";"3909.0";"2020-10-16 14:46:57"
70;"16.1";"51.7";"48.4";"84.8";"13.8";"47.8";"65.6";"228.8";"3914.0";"2020-10-16 14:47:02"
71;"11.5";"51.7";"48.4";"111.2";"15.6";"45.4";"65.6";"229.0";"3748.8";"2020-10-16 14:47:07"
72;"9.9";"51.7";"48.4";"82.6";"12.4";"45.2";"65.6";"229.0";"3924.0";"2020-10-16 14:47:12"
73;"8.4";"51.7";"48.4";"96.6";"15.0";"45.6";"65.6";"229.0";"3909.0";"2020-10-16 14:47:17"
74;"9.0";"51.7";"48.4";"47.0";"12.2";"44.6";"65.6";"228.6";"3914.0";"2020-10-16 14:47:22"
75;"9.6";"51.6";"48.4";"69.6";"12.2";"45.4";"65.5";"226.6";"3904.0";"2020-10-16 14:47:28"
76;"12.1";"51.6";"48.4";"77.2";"12.8";"46.0";"65.5";"226.0";"3909.0";"2020-10-16 14:47:33"
77;"19.5";"50.8";"48.4";"103.0";"12.0";"48.2";"65.5";"226.0";"3904.0";"2020-10-16 14:47:38"
78;"9.1";"49.8";"48.4";"75.0";"12.6";"46.2";"65.5";"226.0";"3919.0";"2020-10-16 14:47:43"
79;"9.2";"49.8";"48.4";"95.4";"13.6";"45.2";"65.5";"226.0";"3909.0";"2020-10-16 14:47:48"
80;"11.9";"49.8";"48.4";"82.4";"15.2";"47.2";"65.4";"225.2";"3909.0";"2020-10-16 14:47:53"
81;"24.9";"49.7";"48.4";"66.0";"12.6";"49.4";"65.5";"226.6";"3914.0";"2020-10-16 14:47:58"
82;"12.1";"49.8";"48.4";"45.6";"14.6";"45.4";"65.5";"229.0";"3904.0";"2020-10-16 14:48:03"
83;"11.1";"49.8";"48.4";"45.4";"15.8";"45.2";"65.5";"229.0";"3919.0";"2020-10-16 14:48:08"
